,Url,Oferta,Cena,Umeblowane,Powierzchnia,Liczba pokoi
85,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-teofilow-CID3-IDFleJo.html#314db5627e,Mieszkanie do wynajęcia Teofilów.,1320,0,38.0,2
86,https://www.olx.pl/oferta/tania-kawalerka-na-widzewie-CID3-IDCGgTW.html#314db5627e,Tania kawalerka na Widzewie,1300,1,35.0,1
87,https://www.olx.pl/oferta/radiostacja-mieszkanie-2-pokojowe-CID3-IDFbLGe.html#314db5627e,Radiostacja-mieszkanie 2-pokojowe,1690,1,36.0,2
88,https://www.olx.pl/oferta/mieszkanie-2-pokojowe-do-wynajecia-od-lipca-CID3-IDEU92N.html#314db5627e,Mieszkanie 2-pokojowe do wynajęcia OD LIPCA,2000,1,42.0,2
89,https://www.olx.pl/oferta/nowa-przedzalnia-ostatnie-mieszkanie-2-pokojowe-oddzielne-pokoje-CID3-IDBQIJT.html#314db5627e,Nowa Przędzalnia- ostatnie mieszkanie 2 pokojowe (oddzielne pokoje),2000,1,45.0,2
90,https://www.olx.pl/oferta/m-3-rozkladowe-45-m-blisko-manufaktury-CID3-IDEGz8e.html#314db5627e,M-3 rozkładowe 45 m blisko Manufaktury,1501,0,45.0,2
91,https://www.olx.pl/oferta/rentaroom-pl-speak-eng-manufaktura-studio-z-balkonem-ul-mackiewicza-CID3-IDFaQOM.html#314db5627e,RENTAROOM.PL Speak Eng Manufaktura studio z balkonem ul.Mackiewicza,1350,1,20.0,1
92,https://www.olx.pl/oferta/rentaroom-pl-speak-eng-manufaktura-teren-zamkniety-ul-mackiewicza-CID3-IDFaR8F.html#314db5627e,RENTAROOM.PL Speak Eng Manufaktura .teren zamknięty ul.Mackiewicza,1150,1,16.0,1
93,https://www.olx.pl/oferta/do-wynajecia-mieszkanie-po-remoncie-2-pokoje-broniewskiego-58-CID3-IDDWYxh.html#314db5627e,Do wynajęcia mieszkanie po remoncie. 2 pokoje. Broniewskiego 58,1530,1,37.0,2
94,https://www.olx.pl/oferta/wynajme-kawalerke-35m-z-balkonem-mackiewicza-pojezierska-CID3-IDFaLtT.html#314db5627e,Wynajmę kawalerkę 35m z balkonem Mackiewicza/Pojezierska,1450,1,35.0,1
95,https://www.otodom.pl/oferta/wynajme-mieszkanie-o-wysokim-standardzie-ID46iVO.html?,Wynajmę mieszkanie o wysokim standardzie,2800,1,52.0,2
96,https://www.olx.pl/oferta/wynajme-mieszkanie-ul-julianowska-balkon-winda-CID3-IDEQZg0.html#314db5627e,Wynajmę mieszkanie ul.Julianowska . Balkon. winda,1750,1,35.0,2
97,https://www.olx.pl/oferta/przytulne-2-pokojowe-mieszkanie-po-remoncie-51-m2-lodz-gorna-CID3-IDE4RaY.html#314db5627e,Przytulne 2-pokojowe mieszkanie po remoncie 51 m2 Łódź Górna,1900,1,51.0,2
98,https://www.olx.pl/oferta/wynajem-mieszkania-lodz-dworzec-kaliski-atlas-arena-zmywarka-umeblowa-CID3-IDFa29i.html#314db5627e,Wynajem mieszkania łódź-/dworzec kaliski/atlas arena/zmywarka/umeblowa,1390,1,27.0,1
99,https://www.olx.pl/oferta/kawalerka-do-wynajecia-lodz-widzew-32-8-m2-CID3-IDFkXwr.html#c306ff6027,Kawalerka do wynajęcia. Łódź-Widzew. 32.8 m2,1350,1,32.8,1
100,https://www.olx.pl/oferta/super-kawalerka-40-m2-CID3-IDEbx2V.html#c306ff6027,Super kawalerka 40 m2,1490,1,40.0,1
101,https://www.olx.pl/oferta/mieszkanie-wynajme-CID3-IDFjibS.html#c306ff6027,Mieszkanie wynajme,1890,1,38.0,2
